frame,keL_a,keR_a,keL_b,keR_b
0,3.131786746e-3,0.000000000e0,3.131786746e-3,0.000000000e0
1,2.945926614e-3,0.000000000e0,2.945926614e-3,0.000000000e0
2,2.830567238e-3,0.000000000e0,2.830567238e-3,0.000000000e0
3,2.747139077e-3,0.000000000e0,2.747139077e-3,0.000000000e0
4,2.680764722e-3,0.000000000e0,2.680764722e-3,0.000000000e0
5,2.628908342e-3,0.000000000e0,2.628908342e-3,0.000000000e0
6,2.584979932e-3,0.000000000e0,2.584979932e-3,0.000000000e0
7,2.544272044e-3,3.033448666e-6,2.544272044e-3,3.033448666e-6
8,2.473672756e-3,4.115563428e-5,2.473672756e-3,4.115563428e-5
9,2.395433423e-3,9.147590146e-5,2.395433423e-3,9.147590146e-5
10,2.353162331e-3,1.097452671e-4,2.353162331e-3,1.097452671e-4
11,2.329393296e-3,1.119909985e-4,2.329393296e-3,1.119909985e-4
12,2.310558660e-3,1.115482164e-4,2.310558660e-3,1.115482164e-4
13,2.294795920e-3,1.106792946e-4,2.294795920e-3,1.106792946e-4
14,2.280853261e-3,1.097267731e-4,2.280853261e-3,1.097267731e-4
15,2.268431810e-3,1.087940837e-4,2.268431810e-3,1.087940837e-4
16,2.257147965e-3,1.078832255e-4,2.257147965e-3,1.078832255e-4
17,2.247570051e-3,1.070001088e-4,2.247570051e-3,1.070001088e-4
18,2.230063376e-3,1.060571515e-4,2.230063376e-3,1.060571515e-4
19,2.217147968e-3,1.051824589e-4,2.217147968e-3,1.051824589e-4
20,2.219925041e-3,1.043320996e-4,2.219925041e-3,1.043320996e-4
21,2.218290383e-3,1.034870270e-4,2.218290383e-3,1.034870270e-4
22,2.213618184e-3,1.026566811e-4,2.213618184e-3,1.026566811e-4
23,2.209689263e-3,1.018483142e-4,2.209689263e-3,1.018483142e-4
24,2.206478865e-3,1.010754664e-4,2.206478865e-3,1.010754664e-4
25,2.203897146e-3,1.002923502e-4,2.203897146e-3,1.002923502e-4
