
=== KA_T0.44  gates  C=150 ===
  1.30|b2  N=1.992e+05 share=5.5121e-03 ped=6.3669e-05 (1.2%) dH=2.37e-09 occ=1.00 [42s]
  1.30|b3  N=1.992e+05 share=5.5121e-03 ped=8.1510e-05 (1.5%) dH=3.64e-09 occ=1.00 [65s]
  1.30|b4  N=1.992e+05 share=5.5121e-03 ped=8.5026e-05 (1.5%) dH=7.51e-09 occ=1.00 [88s]
  1.50|b2  N=5.591e+05 share=2.2807e-03 ped=3.4903e-06 (0.2%) dH=8.40e-10 occ=1.00 [111s]
  1.50|b3  N=5.591e+05 share=2.2807e-03 ped=3.5420e-06 (0.2%) dH=1.46e-08 occ=1.00 [135s]
  1.50|b4  N=5.591e+05 share=2.2807e-03 ped=5.2295e-06 (0.2%) dH=5.74e-10 occ=1.00 [159s]
  1.80|b2  N=3.750e+06 share=1.7103e-05 ped=4.4879e-06 (26.2%) dH=1.50e-09 occ=1.00 [183s]
  1.80|b3  N=3.750e+06 share=1.7612e-05 ped=6.3800e-06 (36.2%) dH=6.83e-10 occ=1.00 [207s]
  1.80|b4  N=3.750e+06 share=1.3679e-05 ped=6.7200e-06 (49.1%) dH=3.90e-09 occ=1.00 [231s]

=== KA_T0.50  gates  C=150 ===
  1.30|b2  N=2.200e+05 share=4.4005e-03 ped=4.8651e-05 (1.1%) dH=7.75e-10 occ=1.00 [24s]
  1.30|b3  N=2.200e+05 share=4.4005e-03 ped=5.5793e-05 (1.3%) dH=6.20e-09 occ=1.00 [49s]
  1.30|b4  N=2.200e+05 share=4.4005e-03 ped=6.7690e-05 (1.5%) dH=8.96e-09 occ=1.00 [73s]
  1.50|b2  N=5.704e+05 share=9.5960e-04 ped=2.9056e-09 (0.0%) dH=1.74e-10 occ=1.00 [98s]
  1.50|b3  N=5.704e+05 share=9.5960e-04 ped=3.3030e-07 (0.0%) dH=2.07e-09 occ=1.00 [122s]
  1.50|b4  N=5.704e+05 share=9.5960e-04 ped=8.5409e-08 (0.0%) dH=3.33e-10 occ=1.00 [147s]
  1.80|b2  N=3.750e+06 share=1.0156e-06 ped=3.4870e-06 (343.3%) dH=5.12e-09 occ=1.00 [171s]
  1.80|b3  N=3.750e+06 share=2.1992e-06 ped=4.7080e-06 (214.1%) dH=1.05e-08 occ=1.00 [195s]
  1.80|b4  N=3.750e+06 share=1.7005e-06 ped=5.0713e-06 (298.2%) dH=1.16e-09 occ=1.00 [220s]

=== KA_T0.56  gates  C=150 ===
  1.30|b2  N=2.354e+05 share=2.6816e-03 ped=1.8133e-05 (0.7%) dH=5.62e-10 occ=1.00 [24s]
  1.30|b3  N=2.354e+05 share=2.6816e-03 ped=3.2280e-05 (1.2%) dH=9.91e-10 occ=1.00 [49s]
  1.30|b4  N=2.354e+05 share=2.6816e-03 ped=3.4735e-05 (1.3%) dH=1.13e-08 occ=1.00 [73s]
  1.50|b2  N=5.826e+05 share=5.2450e-04 ped=1.0859e-07 (0.0%) dH=1.40e-10 occ=1.00 [98s]
  1.50|b3  N=5.826e+05 share=5.2450e-04 ped=5.2121e-08 (0.0%) dH=2.07e-10 occ=1.00 [122s]
  1.50|b4  N=5.826e+05 share=5.2450e-04 ped=3.1435e-07 (0.1%) dH=2.40e-11 occ=1.00 [146s]
  1.80|b2  N=3.750e+06 share=3.5224e-07 ped=2.8180e-06 (800.0%) dH=6.98e-11 occ=1.00 [171s]
  1.80|b3  N=3.750e+06 share=1.4516e-06 ped=3.6226e-06 (249.6%) dH=4.56e-09 occ=1.00 [196s]
  1.80|b4  N=3.750e+06 share=7.1170e-07 ped=4.0193e-06 (564.7%) dH=4.11e-10 occ=1.00 [220s]

=== KA_T0.64  gates  C=150 ===
  1.30|b2  N=2.575e+05 share=1.7564e-03 ped=1.2586e-05 (0.7%) dH=2.79e-09 occ=1.00 [25s]
  1.30|b3  N=2.575e+05 share=1.7564e-03 ped=2.0174e-05 (1.1%) dH=3.79e-09 occ=1.00 [49s]
  1.30|b4  N=2.575e+05 share=1.7564e-03 ped=1.7834e-05 (1.0%) dH=9.53e-09 occ=1.00 [81s]
  1.50|b2  N=5.922e+05 share=4.2742e-05 ped=3.0490e-08 (0.1%) dH=2.29e-10 occ=1.00 [120s]
  1.50|b3  N=5.922e+05 share=4.2742e-05 ped=8.1325e-10 (0.0%) dH=1.04e-09 occ=1.00 [159s]
  1.50|b4  N=5.922e+05 share=4.2742e-05 ped=4.4677e-09 (0.0%) dH=3.58e-10 occ=1.00 [198s]
  1.80|b2  N=3.750e+06 share=8.1320e-07 ped=1.7322e-06 (213.0%) dH=2.71e-10 occ=1.00 [238s]
  1.80|b3  N=3.750e+06 share=2.2860e-06 ped=2.4283e-06 (106.2%) dH=1.51e-09 occ=1.00 [277s]
  1.80|b4  N=3.750e+06 share=1.3600e-06 ped=2.6424e-06 (194.3%) dH=4.00e-09 occ=1.00 [317s]

wrote glass_gates.json
