frame,join,only_a,only_b,divL,divR
0,118283,0,0,0.000000000e0,0.000000000e0
1,118283,0,0,0.000000000e0,0.000000000e0
2,118283,0,0,0.000000000e0,0.000000000e0
3,118283,0,0,0.000000000e0,0.000000000e0
4,118283,0,0,0.000000000e0,0.000000000e0
5,118283,0,0,0.000000000e0,0.000000000e0
6,118283,0,0,0.000000000e0,0.000000000e0
7,118283,0,0,0.000000000e0,0.000000000e0
8,118283,0,0,0.000000000e0,0.000000000e0
9,118283,0,0,0.000000000e0,0.000000000e0
10,118283,0,0,0.000000000e0,0.000000000e0
11,118283,0,0,0.000000000e0,0.000000000e0
12,118283,0,0,0.000000000e0,0.000000000e0
13,118283,0,0,0.000000000e0,0.000000000e0
14,118283,0,0,0.000000000e0,0.000000000e0
15,118283,0,0,0.000000000e0,0.000000000e0
16,118283,0,0,0.000000000e0,0.000000000e0
17,118283,0,0,0.000000000e0,0.000000000e0
18,118283,0,0,0.000000000e0,0.000000000e0
19,118283,0,0,0.000000000e0,0.000000000e0
20,118283,0,0,0.000000000e0,0.000000000e0
21,118283,0,0,0.000000000e0,0.000000000e0
22,118283,0,0,0.000000000e0,0.000000000e0
23,118283,0,0,0.000000000e0,0.000000000e0
24,118283,0,0,0.000000000e0,0.000000000e0
25,118283,0,0,0.000000000e0,0.000000000e0
26,118283,0,0,0.000000000e0,0.000000000e0
27,118283,0,0,0.000000000e0,0.000000000e0
28,118283,0,0,0.000000000e0,0.000000000e0
29,118283,0,0,0.000000000e0,0.000000000e0
30,118283,0,0,0.000000000e0,0.000000000e0
31,118283,0,0,0.000000000e0,0.000000000e0
32,118283,0,0,0.000000000e0,0.000000000e0
33,118283,0,0,0.000000000e0,0.000000000e0
34,118283,0,0,0.000000000e0,0.000000000e0
35,118283,0,0,0.000000000e0,0.000000000e0
36,118283,0,0,0.000000000e0,0.000000000e0
37,118283,0,0,0.000000000e0,0.000000000e0
38,118283,0,0,0.000000000e0,0.000000000e0
39,118283,0,0,0.000000000e0,0.000000000e0
40,118283,0,0,0.000000000e0,0.000000000e0
41,118283,0,0,0.000000000e0,0.000000000e0
42,118283,0,0,0.000000000e0,0.000000000e0
43,118283,0,0,0.000000000e0,0.000000000e0
44,118283,0,0,0.000000000e0,0.000000000e0
45,118283,0,0,0.000000000e0,0.000000000e0
46,118283,0,0,0.000000000e0,0.000000000e0
47,118283,0,0,0.000000000e0,0.000000000e0
48,118283,0,0,0.000000000e0,0.000000000e0
49,118283,0,0,0.000000000e0,0.000000000e0
50,118283,0,0,0.000000000e0,0.000000000e0
51,118283,0,0,0.000000000e0,0.000000000e0
52,118283,0,0,0.000000000e0,0.000000000e0
53,118283,0,0,0.000000000e0,0.000000000e0
54,118283,0,0,0.000000000e0,0.000000000e0
55,118283,0,0,0.000000000e0,0.000000000e0
56,118283,0,0,0.000000000e0,0.000000000e0
57,118283,0,0,0.000000000e0,0.000000000e0
58,118283,0,0,0.000000000e0,0.000000000e0
59,118283,0,0,0.000000000e0,0.000000000e0
60,118283,0,0,0.000000000e0,0.000000000e0
61,118283,0,0,0.000000000e0,0.000000000e0
62,118283,0,0,0.000000000e0,0.000000000e0
63,118283,0,0,0.000000000e0,0.000000000e0
64,118283,0,0,0.000000000e0,0.000000000e0
65,118283,0,0,0.000000000e0,0.000000000e0
66,118283,0,0,0.000000000e0,0.000000000e0
67,118283,0,0,0.000000000e0,0.000000000e0
68,118283,0,0,0.000000000e0,0.000000000e0
69,118283,0,0,0.000000000e0,0.000000000e0
70,118283,0,0,0.000000000e0,0.000000000e0
71,118283,0,0,0.000000000e0,0.000000000e0
72,118283,0,0,0.000000000e0,0.000000000e0
73,118283,0,0,0.000000000e0,0.000000000e0
74,118283,0,0,0.000000000e0,0.000000000e0
75,118283,0,0,0.000000000e0,0.000000000e0
76,118283,0,0,0.000000000e0,0.000000000e0
77,118283,0,0,0.000000000e0,0.000000000e0
78,118283,0,0,0.000000000e0,0.000000000e0
79,118283,0,0,0.000000000e0,0.000000000e0
80,118283,0,0,0.000000000e0,0.000000000e0
81,118283,0,0,0.000000000e0,0.000000000e0
82,118283,0,0,0.000000000e0,0.000000000e0
83,118283,0,0,0.000000000e0,0.000000000e0
84,118283,0,0,0.000000000e0,0.000000000e0
85,118283,0,0,0.000000000e0,0.000000000e0
86,118283,0,0,0.000000000e0,0.000000000e0
87,118283,0,0,0.000000000e0,0.000000000e0
88,118283,0,0,0.000000000e0,0.000000000e0
89,118283,0,0,0.000000000e0,0.000000000e0
90,118283,0,0,0.000000000e0,0.000000000e0
91,118283,0,0,0.000000000e0,0.000000000e0
92,118283,0,0,0.000000000e0,0.000000000e0
93,118283,0,0,0.000000000e0,0.000000000e0
94,118283,0,0,0.000000000e0,0.000000000e0
95,118283,0,0,0.000000000e0,0.000000000e0
96,118283,0,0,0.000000000e0,0.000000000e0
97,118283,0,0,0.000000000e0,0.000000000e0
98,118283,0,0,0.000000000e0,0.000000000e0
99,118283,0,0,0.000000000e0,0.000000000e0
100,118283,0,0,0.000000000e0,0.000000000e0
101,118283,0,0,0.000000000e0,0.000000000e0
102,118283,0,0,0.000000000e0,0.000000000e0
103,118283,0,0,0.000000000e0,0.000000000e0
104,118283,0,0,0.000000000e0,0.000000000e0
105,118283,0,0,0.000000000e0,0.000000000e0
106,118283,0,0,0.000000000e0,0.000000000e0
107,118283,0,0,0.000000000e0,0.000000000e0
108,118283,0,0,0.000000000e0,0.000000000e0
109,118283,0,0,0.000000000e0,0.000000000e0
110,118283,0,0,0.000000000e0,0.000000000e0
111,118283,0,0,0.000000000e0,0.000000000e0
112,118283,0,0,0.000000000e0,0.000000000e0
113,118283,0,0,0.000000000e0,0.000000000e0
114,118283,0,0,0.000000000e0,0.000000000e0
115,118283,0,0,0.000000000e0,0.000000000e0
116,118283,0,0,0.000000000e0,0.000000000e0
117,118283,0,0,0.000000000e0,0.000000000e0
118,118283,0,0,0.000000000e0,0.000000000e0
119,118283,0,0,0.000000000e0,0.000000000e0
120,118283,0,0,0.000000000e0,0.000000000e0
121,118283,0,0,0.000000000e0,0.000000000e0
122,118283,0,0,0.000000000e0,0.000000000e0
123,118283,0,0,0.000000000e0,0.000000000e0
124,118283,0,0,0.000000000e0,0.000000000e0
125,118283,0,0,0.000000000e0,0.000000000e0
126,118283,0,0,0.000000000e0,0.000000000e0
127,118283,0,0,0.000000000e0,0.000000000e0
128,118283,0,0,0.000000000e0,0.000000000e0
129,118283,0,0,0.000000000e0,0.000000000e0
130,118283,0,0,0.000000000e0,0.000000000e0
131,118283,0,0,0.000000000e0,0.000000000e0
132,118283,0,0,0.000000000e0,0.000000000e0
133,118283,0,0,0.000000000e0,0.000000000e0
134,118283,0,0,0.000000000e0,0.000000000e0
135,118283,0,0,0.000000000e0,0.000000000e0
136,118283,0,0,0.000000000e0,0.000000000e0
137,118283,0,0,0.000000000e0,0.000000000e0
