frame,micro_div,d_momx,d_momy,d_ke,d_comx,rand_00,rand_01,rand_02,rand_03,rand_04,rand_05,rand_06,rand_07,rand_08,rand_09,rand_10,rand_11,rand_12,rand_13,rand_14,rand_15,rand_16,rand_17,rand_18,rand_19,rand_20,rand_21,rand_22,rand_23,rand_24,rand_25,rand_26,rand_27,rand_28,rand_29,rand_30,rand_31,rand_32,rand_33,rand_34,rand_35,rand_36,rand_37,rand_38,rand_39,rand_40,rand_41,rand_42,rand_43,rand_44,rand_45,rand_46,rand_47,rand_48,rand_49,rand_50,rand_51,rand_52,rand_53,rand_54,rand_55,rand_56,rand_57,rand_58,rand_59,rand_60,rand_61,rand_62,rand_63,join,only_a,only_b
0,3.216878850e-2,4.262905326e-7,4.111876773e-6,2.117701587e-4,1.092059140e-12,5.022253894e-1,6.596569583e-1,1.209614499e-1,1.460358662e-1,1.053673865e0,1.163596850e0,4.749842213e-1,8.380243116e-1,2.690451805e-1,4.376892476e-1,5.392434342e-1,1.176994082e0,6.880997377e-1,1.272256856e0,8.374965191e-1,5.298843300e-1,5.068456711e-1,8.558627343e-2,1.455933308e0,9.830128513e-1,3.256727215e-1,8.519316215e-1,4.076412548e-1,6.634937627e-1,4.966886030e-1,5.264913582e-1,9.338292930e-1,6.884991079e-1,1.162499140e0,2.052572685e-1,5.033295837e-1,3.815492392e-1,1.986642060e-1,6.274565552e-1,3.118123201e-1,5.281306347e-1,1.013578653e0,1.860136647e-1,4.484226669e-1,9.014904619e-1,1.389912091e0,1.220477059e-1,5.006130679e-1,1.413998819e0,8.243332108e-2,6.347293223e-2,5.444860351e-1,8.685949494e-1,7.388720322e-1,6.495761226e-1,4.833099602e-1,1.055653373e0,1.443837294e-1,7.801971767e-1,9.743732443e-1,5.287482597e-1,9.040751645e-1,1.447804369e0,1.064539082e0,9.114605996e-1,3.602316884e-1,9.954541421e-1,5.852822114e-1,2.451147402e-1,118283,0,0
1,2.945880301e-2,1.162192865e-6,8.188671752e-6,2.397132679e-4,9.825298386e-12,7.671842245e-1,1.045792547e0,2.734054659e-1,3.530205603e-1,1.488248548e0,1.683855585e0,7.671169909e-1,1.126597841e0,4.832716114e-1,6.445760506e-1,6.339414834e-1,1.534283667e0,8.240732884e-1,1.689399353e0,1.100539550e0,7.646074918e-1,6.705938638e-1,8.986014064e-2,1.986851428e0,1.403646679e0,3.889523263e-1,1.079931819e0,6.557206057e-1,8.684234041e-1,8.048756127e-1,8.448146156e-1,1.340496011e0,1.116715496e0,1.544670021e0,2.817289956e-1,6.309387411e-1,5.049900123e-1,2.470758327e-1,9.606524424e-1,3.854397017e-1,6.677229706e-1,1.410923988e0,2.650075766e-1,8.016872325e-1,1.375593907e0,1.851435933e0,2.739006437e-1,5.726455863e-1,1.962216710e0,5.998749045e-2,2.029738271e-2,7.245940472e-1,1.105321879e0,1.069174208e0,8.996040355e-1,6.057445542e-1,1.483499691e0,1.873518646e-1,1.082962398e0,1.273113784e0,7.881712273e-1,1.116904950e0,1.938580834e0,1.402264242e0,1.266022085e0,5.050182337e-1,1.346239401e0,7.682593360e-1,2.015892853e-1,118283,0,0
2,2.738930298e-2,4.791768686e-6,1.177892998e-5,1.837749960e-4,8.190132405e-11,8.851993314e-1,1.234047449e0,4.508283924e-1,5.436049744e-1,1.558120547e0,1.801497401e0,9.628246026e-1,1.143046779e0,6.831249567e-1,7.164670441e-1,5.683236415e-1,1.458374130e0,7.252756579e-1,1.657261614e0,1.101866479e0,8.332078249e-1,6.590393062e-1,1.999451036e-1,1.996666984e0,1.484404449e0,3.940370366e-1,1.007134302e0,8.316649141e-1,8.380631488e-1,9.624761495e-1,1.047306700e0,1.430582088e0,1.333221429e0,1.499277688e0,3.559642953e-1,5.801151388e-1,4.807509133e-1,2.809724740e-1,1.111422207e0,3.765057885e-1,6.660182064e-1,1.503555469e0,3.826155811e-1,1.025651449e0,1.569567513e0,1.818047839e0,4.052624763e-1,5.013690170e-1,2.009391383e0,1.514306434e-1,9.144132060e-2,7.655610901e-1,1.014052761e0,1.155137707e0,9.383760728e-1,5.965707196e-1,1.565214962e0,2.971701901e-1,1.125570565e0,1.213522308e0,9.159277260e-1,1.028762501e0,1.918277942e0,1.378298555e0,1.297616577e0,5.410221187e-1,1.365706293e0,7.760595501e-1,1.804325455e-1,118283,0,0
3,2.530011008e-2,8.324644318e-6,4.491944918e-5,1.466860514e-4,2.346293343e-10,9.891205462e-1,1.400511422e0,5.634952426e-1,7.016992637e-1,1.644484741e0,1.915001308e0,1.113654682e0,1.177150657e0,7.689090091e-1,7.953206236e-1,4.912312715e-1,1.424966091e0,6.424657427e-1,1.668033430e0,1.119463656e0,8.834128041e-1,6.778386481e-1,2.881623962e-1,2.049019969e0,1.575039686e0,3.187714680e-1,9.853246001e-1,9.546041322e-1,8.425467830e-1,1.105967569e0,1.156306686e0,1.524867063e0,1.532391621e0,1.486983209e0,3.443857905e-1,5.665969638e-1,4.603445152e-1,2.610112527e-1,1.234001161e0,3.463556318e-1,6.596965449e-1,1.572852363e0,3.745441815e-1,1.210093942e0,1.746168800e0,1.823012241e0,4.977965206e-1,4.425648729e-1,2.089339322e0,2.170400678e-1,1.630416229e-1,7.503409078e-1,9.443974635e-1,1.248645949e0,9.892708579e-1,5.460695142e-1,1.651346603e0,2.669101317e-1,1.190808693e0,1.183950001e0,9.856806056e-1,9.613859755e-1,1.923097789e0,1.377551333e0,1.351975330e0,5.748838671e-1,1.405118713e0,7.654827318e-1,1.857257815e-1,118283,0,0
4,2.394830840e-2,1.243342984e-5,1.461539169e-4,8.443425329e-5,4.841524172e-10,9.884346935e-1,1.437208114e0,6.492324096e-1,7.987415677e-1,1.548265766e0,1.812734116e0,1.167233389e0,1.087357013e0,8.054306195e-1,7.926767474e-1,3.601840425e-1,1.214365923e0,4.802982059e-1,1.476791885e0,1.009377986e0,8.381769465e-1,6.245427950e-1,3.776762087e-1,1.858768156e0,1.487037755e0,2.662708515e-1,8.371020110e-1,9.896352074e-1,7.401528523e-1,1.136319901e0,1.171147421e0,1.460557383e0,1.583990648e0,1.294893765e0,3.177198867e-1,4.825384585e-1,3.816280158e-1,2.435682516e-1,1.243011047e0,2.757357618e-1,5.744769725e-1,1.476045628e0,3.672552502e-1,1.285403188e0,1.747606069e0,1.613462073e0,5.472822129e-1,3.275258488e-1,1.927014108e0,2.713035948e-1,2.380130490e-1,6.584985175e-1,7.505513292e-1,1.206777277e0,9.375558981e-1,4.378499831e-1,1.554638625e0,2.476054176e-1,1.128900810e0,1.015408988e0,9.712895018e-1,7.806691932e-1,1.702302272e0,1.216255381e0,1.254697125e0,5.472694557e-1,1.284529581e0,6.851202654e-1,2.503254923e-1,118283,0,0
5,2.246100863e-2,2.361768006e-5,1.868960673e-4,1.947592109e-5,9.287403428e-10,9.002125351e-1,1.331220354e0,6.681243413e-1,8.127933277e-1,1.311088353e0,1.554169539e0,1.117556793e0,9.000530934e-1,7.982381886e-1,7.178011283e-1,2.743911138e-1,9.083970908e-1,3.160366920e-1,1.165791806e0,8.259285809e-1,7.273842162e-1,5.103619139e-1,4.260912175e-1,1.508420464e0,1.269866887e0,2.719771368e-1,6.237032011e-1,9.449664038e-1,5.764388567e-1,1.058481279e0,1.096186223e0,1.261014533e0,1.476815535e0,9.979788067e-1,2.881178074e-1,3.661227327e-1,2.763514473e-1,2.567645297e-1,1.142889731e0,1.925597744e-1,4.596947879e-1,1.270948973e0,3.590060286e-1,1.230454192e0,1.581745830e0,1.272350644e0,5.439911207e-1,2.086975048e-1,1.595039878e0,3.003015368e-1,2.812917091e-1,5.373444601e-1,5.115410233e-1,1.053164135e0,8.049619963e-1,3.238095015e-1,1.329193250e0,2.413800198e-1,9.642728333e-1,7.631496701e-1,8.851378215e-1,5.775718628e-1,1.345825342e0,9.561085150e-1,1.043333632e0,4.806505352e-1,1.061240158e0,5.615418339e-1,3.383410418e-1,118283,0,0
6,2.095038940e-2,2.089269526e-5,8.047960678e-5,7.289735896e-5,1.454924801e-9,6.529108375e-1,9.780582071e-1,6.052517591e-1,7.241442452e-1,7.958359168e-1,9.850279653e-1,8.859981043e-1,5.109994666e-1,6.967646100e-1,5.034533734e-1,2.786582767e-1,3.742623839e-1,2.133680509e-1,5.875233028e-1,4.732092201e-1,4.910848615e-1,2.620824179e-1,4.364022416e-1,8.069404214e-1,7.947726768e-1,3.537193723e-1,2.464418716e-1,7.576241195e-1,2.775372299e-1,8.035157843e-1,8.634953415e-1,7.930971332e-1,1.103376175e0,4.415861157e-1,2.644301538e-1,1.674041287e-1,9.162340655e-2,2.554246895e-1,8.275275280e-1,1.016498849e-1,2.801827929e-1,8.338249906e-1,3.471133552e-1,9.671314221e-1,1.120397540e0,6.256323671e-1,4.663818217e-1,1.623900806e-1,9.055376439e-1,2.896244816e-1,2.820445021e-1,3.582138703e-1,1.699298912e-1,6.884633302e-1,4.919646180e-1,2.295278385e-1,8.367957781e-1,2.645970250e-1,5.815022263e-1,3.069153927e-1,6.518861798e-1,3.277410118e-1,6.892241166e-1,4.766100899e-1,5.905058843e-1,3.214671595e-1,6.138628964e-1,3.646124797e-1,4.184122199e-1,118283,0,0
7,1.899570679e-2,2.398728844e-5,4.006811616e-5,1.545259379e-4,1.996848623e-9,3.816845032e-1,5.781588480e-1,5.101872949e-1,5.740917862e-1,2.637942070e-1,3.979036366e-1,6.594496321e-1,2.878668754e-1,6.503176459e-1,2.876337096e-1,4.737207589e-1,2.972489814e-1,4.614983903e-1,2.819779873e-1,3.543742806e-1,3.144168159e-1,7.960864097e-2,4.083415499e-1,9.753627654e-2,3.083654756e-1,5.040151003e-1,2.158423436e-1,5.819126693e-1,6.906951383e-2,4.920759016e-1,7.001261985e-1,3.389757278e-1,6.456264744e-1,2.052551706e-1,3.292176172e-1,1.723658552e-1,1.014804627e-1,3.475896746e-1,5.437960045e-1,1.842660467e-1,2.940049370e-1,6.009219555e-1,4.262265644e-1,6.219818726e-1,6.087626462e-1,3.250910214e-1,3.454675373e-1,3.319375561e-1,1.598342965e-1,2.555102934e-1,2.572731703e-1,4.004768895e-1,3.704365612e-1,2.977393994e-1,2.588922573e-1,3.722892805e-1,4.389202967e-1,3.585996797e-1,2.364086658e-1,2.721516387e-1,5.231484008e-1,5.454465229e-1,4.075153709e-1,3.070261709e-1,1.003678035e-1,2.221021322e-1,3.522753505e-1,4.040286979e-1,5.027140397e-1,118283,0,0
8,1.790028564e-2,2.389262556e-5,9.553687594e-5,2.417482744e-4,2.566986071e-9,2.422131687e-1,3.682825634e-1,4.966595794e-1,5.394201590e-1,2.399548316e-1,2.600014145e-1,5.458105769e-1,4.164689679e-1,6.178656908e-1,1.831092032e-1,6.332361501e-1,7.136846996e-1,7.012979102e-1,6.298375670e-1,4.919800460e-1,2.727364305e-1,2.288613985e-1,4.496758779e-1,5.174526714e-1,2.220109572e-1,5.954690374e-1,5.232442111e-1,4.962290203e-1,3.013581730e-1,3.227480597e-1,6.129752561e-1,2.654293481e-1,3.949168682e-1,6.270208885e-1,3.305101330e-1,3.337249406e-1,2.500945014e-1,3.784809031e-1,4.180462260e-1,2.704834655e-1,3.800972368e-1,6.101176907e-1,4.232263190e-1,4.655620582e-1,3.370940631e-1,7.287249229e-1,3.163268407e-1,4.951643445e-1,3.880062301e-1,2.754429546e-1,2.816922407e-1,4.702178868e-1,6.846918368e-1,1.357612445e-1,2.852954505e-1,4.898545433e-1,4.218921565e-1,3.720464502e-1,2.573762124e-1,6.222800729e-1,4.714640959e-1,8.178954744e-1,7.732745979e-1,5.912804351e-1,2.555989566e-1,2.104084352e-1,4.850727239e-1,4.976889847e-1,5.950188390e-1,118283,0,0
9,1.717215350e-2,2.358407199e-5,8.667892961e-5,2.810378496e-4,3.125915260e-9,2.343932533e-1,3.674174423e-1,5.423810271e-1,5.833629889e-1,3.152856375e-1,3.066088012e-1,5.580701336e-1,4.851349946e-1,6.451317249e-1,1.774539365e-1,7.117254735e-1,8.545834316e-1,7.994876497e-1,7.638259962e-1,5.617613749e-1,2.869907596e-1,2.830641871e-1,5.060142204e-1,6.592689040e-1,2.741134031e-1,6.527186529e-1,6.320152685e-1,5.089984542e-1,3.807268208e-1,3.217951443e-1,6.292645593e-1,3.064194500e-1,3.946251527e-1,7.527404765e-1,3.429248883e-1,4.009584745e-1,2.928460411e-1,4.031140283e-1,4.197164629e-1,3.022196143e-1,4.265094221e-1,6.530345758e-1,4.357511098e-1,4.950067966e-1,3.241185153e-1,8.707530393e-1,3.493026662e-1,5.735810333e-1,5.142182152e-1,3.104268655e-1,3.178032302e-1,5.069453184e-1,7.975785004e-1,1.514288113e-1,3.199487768e-1,5.418006005e-1,4.702809687e-1,3.898825465e-1,3.057014364e-1,7.352375503e-1,4.822666979e-1,9.327115411e-1,9.155067923e-1,6.990337505e-1,3.361635062e-1,2.207625922e-1,5.626637688e-1,5.531609795e-1,6.567153895e-1,118283,0,0
