frame,moment,rms_signed,rms_abs
0,0,2.040917086e-4,2.041978185e-4
0,1,4.577069530e-3,4.577399785e-3
0,2,3.595328746e-4,3.595328746e-4
0,3,2.705693649e-5,2.705693649e-5
0,4,7.184022842e-4,7.184022842e-4
0,5,9.874053539e-7,1.005756388e-6
0,6,2.847843332e-4,2.847843332e-4
0,7,4.247076301e-6,4.247076301e-6
0,8,2.847517205e-4,2.847517205e-4
300,0,2.109352507e-4,4.090512370e-4
300,1,2.650416648e-3,4.291474628e-3
300,2,1.530819977e-4,1.530819977e-4
300,3,3.216866123e-5,3.216866123e-5
300,4,2.770382598e-4,2.770382598e-4
300,5,4.597727606e-5,5.519954583e-5
300,6,6.608754952e-5,6.608754952e-5
300,7,6.651211420e-6,6.989158514e-6
300,8,4.691270321e-5,4.974464364e-5
1200,0,5.222872519e-5,3.353831691e-4
1200,1,6.171933400e-4,3.334167071e-3
1200,2,8.707369714e-5,8.707369714e-5
1200,3,2.153463941e-5,2.153463941e-5
1200,4,1.551418543e-4,1.551418543e-4
1200,5,8.988899646e-6,2.116780250e-5
1200,6,1.687824802e-5,1.687824802e-5
1200,7,5.607479037e-6,5.845944989e-6
1200,8,2.414536488e-6,9.662354321e-6
