frame,moment,rms_signed,rms_abs
0,0,1.545189055e-4,1.547907467e-4
0,1,3.701000357e-3,3.702559396e-3
0,2,3.444207979e-4,3.444207979e-4
0,3,2.157979819e-5,2.157979819e-5
0,4,6.883222495e-4,6.883222495e-4
0,5,5.891595624e-7,7.420710047e-7
0,6,2.994559250e-4,2.994559250e-4
0,7,3.665491831e-6,3.665491852e-6
0,8,2.994325799e-4,2.994325800e-4
300,0,1.820037694e-4,3.947936659e-4
300,1,2.366314000e-3,3.934869136e-3
300,2,1.515104993e-4,1.515104993e-4
300,3,3.275366770e-5,3.275366770e-5
300,4,2.725786221e-4,2.725786221e-4
300,5,4.226076488e-5,5.596251006e-5
300,6,7.241822768e-5,7.241822768e-5
300,7,6.969394733e-6,7.276519768e-6
300,8,5.327580032e-5,5.553043317e-5
1200,0,4.017120727e-5,3.222803301e-4
1200,1,5.713482528e-4,3.300207195e-3
1200,2,8.652609456e-5,8.652609456e-5
1200,3,2.136770891e-5,2.136770891e-5
1200,4,1.549536272e-4,1.549536272e-4
1200,5,7.044758041e-6,1.947875466e-5
1200,6,1.641899793e-5,1.641899793e-5
1200,7,5.609972840e-6,5.844616622e-6
1200,8,2.787301657e-6,9.480058494e-6
