frame,micro_div,d_momx,d_momy,d_ke,d_comx,rand_00,rand_01,rand_02,rand_03,rand_04,rand_05,rand_06,rand_07,rand_08,rand_09,rand_10,rand_11,rand_12,rand_13,rand_14,rand_15,rand_16,rand_17,rand_18,rand_19,rand_20,rand_21,rand_22,rand_23,rand_24,rand_25,rand_26,rand_27,rand_28,rand_29,rand_30,rand_31,rand_32,rand_33,rand_34,rand_35,rand_36,rand_37,rand_38,rand_39,rand_40,rand_41,rand_42,rand_43,rand_44,rand_45,rand_46,rand_47,rand_48,rand_49,rand_50,rand_51,rand_52,rand_53,rand_54,rand_55,rand_56,rand_57,rand_58,rand_59,rand_60,rand_61,rand_62,rand_63,join,only_a,only_b
0,3.196511125e-2,1.928805381e-6,7.798615175e-6,1.526779460e-4,3.936552874e-11,3.435977535e-1,4.509854386e-1,4.229862775e-2,8.080897976e-2,7.518115111e-1,8.231549003e-1,3.071364916e-1,5.974110416e-1,1.507325233e-1,3.078539756e-1,3.900314342e-1,8.581339624e-1,5.007756118e-1,9.204237040e-1,5.961219188e-1,3.707965127e-1,3.677914702e-1,8.460485263e-2,1.048452225e0,6.999394213e-1,2.364980349e-1,6.218677825e-1,2.565762361e-1,4.842251074e-1,3.410015240e-1,3.413311705e-1,6.613852457e-1,4.709643258e-1,8.408334629e-1,1.256434875e-1,3.728161138e-1,2.764092803e-1,1.466725878e-1,4.300467539e-1,2.118199435e-1,3.696627628e-1,7.093961307e-1,9.166671726e-2,2.952013234e-1,6.224386705e-1,1.003171854e0,6.951557802e-2,3.618128712e-1,1.013467566e0,5.876470339e-2,5.419593333e-2,3.696580437e-1,6.347385276e-1,5.212942791e-1,4.612684065e-1,3.355395057e-1,7.472080138e-1,5.029416043e-2,5.557532923e-1,7.077146607e-1,3.546074924e-1,6.567615067e-1,1.042939406e0,7.633979654e-1,6.530892453e-1,2.525673662e-1,7.117674915e-1,4.217196487e-1,1.785195161e-1,118283,0,0
1,2.930215185e-2,1.704058149e-6,2.408909031e-5,1.449600863e-4,8.136001382e-11,5.463987887e-1,7.452030085e-1,2.029271158e-1,2.788532450e-1,1.022979751e0,1.168378604e0,5.514088279e-1,7.607654158e-1,3.366903662e-1,4.512450983e-1,4.018062957e-1,1.023581559e0,5.320666947e-1,1.137722853e0,7.417719748e-1,5.270509515e-1,4.510430910e-1,5.467990739e-2,1.352714093e0,9.699926398e-1,2.145535865e-1,7.185592938e-1,4.733984830e-1,5.833987406e-1,5.799384977e-1,5.883930496e-1,9.252250593e-1,8.032825531e-1,1.039849892e0,1.695169330e-1,4.164133993e-1,3.384323755e-1,1.386341781e-1,6.756325457e-1,2.542645133e-1,4.452670076e-1,9.632890932e-1,1.432845914e-1,5.913476365e-1,9.711657818e-1,1.247361826e0,2.135227846e-1,3.640090865e-1,1.343771313e0,6.307195587e-2,1.772154178e-2,4.822910292e-1,7.288621481e-1,7.433772287e-1,6.163676147e-1,3.924174267e-1,1.020197430e0,7.676624600e-2,7.428641015e-1,8.487054208e-1,5.421017322e-1,7.288993690e-1,1.305288401e0,9.420437752e-1,8.663153415e-1,3.472400691e-1,9.132208270e-1,4.998657254e-1,1.032492466e-1,118283,0,0
2,2.671689673e-2,1.611731809e-6,7.280810679e-5,1.228111904e-4,1.157878994e-10,7.991729142e-1,1.108279832e0,4.221612538e-1,5.515562668e-1,1.335506490e0,1.566548197e0,8.662318980e-1,9.389839597e-1,5.749835383e-1,6.322044856e-1,3.897971677e-1,1.178965489e0,5.272827101e-1,1.368188316e0,9.017541279e-1,7.121876848e-1,5.402782123e-1,2.102382210e-1,1.683605662e0,1.285296576e0,1.768074139e-1,8.122935035e-1,7.507486004e-1,6.946186818e-1,8.875799303e-1,8.929317645e-1,1.226669872e0,1.220454950e0,1.230535749e0,2.279746014e-1,4.614145229e-1,3.892366285e-1,1.368759884e-1,9.716262882e-1,2.852052767e-1,5.303264884e-1,1.255777625e0,2.161019734e-1,9.630898131e-1,1.397309514e0,1.493917551e0,4.003966392e-1,3.527649820e-1,1.712034854e0,1.701888487e-1,1.123445742e-1,5.952644543e-1,7.939370698e-1,1.008974370e0,7.909428914e-1,4.334168770e-1,1.336313517e0,1.264305673e-1,9.566188497e-1,9.721470013e-1,7.628753419e-1,7.754227798e-1,1.574351660e0,1.123387472e0,1.101440634e0,4.594031192e-1,1.137582329e0,5.840023100e-1,8.586716597e-2,118283,0,0
3,2.505694414e-2,1.512880479e-6,7.049631022e-5,9.283669453e-5,1.424154512e-10,9.132579989e-1,1.284372333e0,5.524113530e-1,7.127520859e-1,1.445178661e0,1.705902639e0,1.031427136e0,9.927056620e-1,6.934666871e-1,7.182148077e-1,3.366444182e-1,1.175634235e0,4.644537301e-1,1.411189574e0,9.416736070e-1,7.812458132e-1,5.662769789e-1,3.118055329e-1,1.766863808e0,1.397702904e0,1.472408692e-1,8.104645075e-1,8.894050636e-1,7.170878479e-1,1.040315076e0,1.035492704e0,1.338273137e0,1.427165006e0,1.242653433e0,2.556345828e-1,4.601804489e-1,3.778391278e-1,1.360728880e-1,1.106439330e0,2.697292232e-1,5.460992326e-1,1.357143683e0,2.613365705e-1,1.150158174e0,1.590910130e0,1.530062340e0,4.956061073e-1,3.173151207e-1,1.821224343e0,2.331969021e-1,1.800384437e-1,6.095963222e-1,7.488518145e-1,1.117022721e0,8.521178563e-1,4.099157371e-1,1.447635049e0,1.515597203e-1,1.033960682e0,9.638862367e-1,8.556796713e-1,7.339510083e-1,1.617478997e0,1.150268645e0,1.172379546e0,5.019080138e-1,1.201608239e0,6.022307278e-1,1.695861629e-1,118283,0,0
4,2.404153315e-2,1.379513409e-6,1.017336761e-4,8.674012676e-5,1.446389116e-10,9.859670265e-1,1.384159870e0,6.177639431e-1,7.952072213e-1,1.528306462e0,1.801114916e0,1.133499679e0,1.055103327e0,7.612185042e-1,7.761897429e-1,3.603078254e-1,1.209959109e0,4.776364540e-1,1.478888264e0,1.007218283e0,8.346471563e-1,5.970096964e-1,3.477080810e-1,1.849482660e0,1.479502259e0,1.723409973e-1,8.500810602e-1,9.773244680e-1,7.568497864e-1,1.127922972e0,1.125408108e0,1.415266304e0,1.540428757e0,1.278184096e0,3.081299924e-1,4.833538882e-1,3.772181247e-1,1.515430235e-1,1.188316472e0,2.939299679e-1,5.994714814e-1,1.452715281e0,3.260834453e-1,1.240225881e0,1.709329931e0,1.591477519e0,5.370433464e-1,3.575208418e-1,1.913454804e0,2.629572215e-1,2.086068337e-1,6.546476202e-1,7.511039643e-1,1.192523810e0,9.044078302e-1,4.411613886e-1,1.539240436e0,2.081516492e-1,1.097323130e0,9.857297610e-1,9.214607642e-1,7.637346723e-1,1.685518122e0,1.208400234e0,1.230003076e0,5.375800325e-1,1.273365054e0,6.413169959e-1,2.368878746e-1,118283,0,0
5,2.331490166e-2,4.107236395e-6,8.116721507e-5,1.032885841e-4,1.001134283e-10,1.020885244e0,1.439256098e0,6.145340214e-1,8.136925655e-1,1.617488780e0,1.886186285e0,1.164336928e0,1.117133028e0,7.446995317e-1,8.213999830e-1,3.462945084e-1,1.300853903e0,4.919681996e-1,1.582199284e0,1.061245560e0,8.674711731e-1,6.485343573e-1,3.398602540e-1,1.968360872e0,1.560494481e0,6.186020704e-2,9.215804372e-1,9.916876675e-1,8.190101488e-1,1.175130661e0,1.135200892e0,1.489260059e0,1.605557728e0,1.360311815e0,2.727716871e-1,5.356805552e-1,3.972332099e-1,1.320836401e-1,1.231759142e0,2.718952309e-1,6.165104822e-1,1.510035952e0,2.790206298e-1,1.273581058e0,1.782270982e0,1.693411329e0,5.356446040e-1,3.628698438e-1,2.028728537e0,2.476025566e-1,2.056072773e-1,6.403663806e-1,8.022423620e-1,1.256281268e0,9.547505805e-1,4.145955069e-1,1.618323395e0,9.507405041e-2,1.165828657e0,1.053753245e0,9.377193160e-1,8.059803152e-1,1.786281041e0,1.276751400e0,1.305685622e0,5.637182882e-1,1.348944395e0,6.772343079e-1,1.834762242e-1,118283,0,0
6,2.270074389e-2,6.042267811e-6,1.705396956e-4,1.326715176e-4,1.291934934e-10,1.029361007e0,1.484263151e0,5.956035551e-1,7.773924372e-1,1.700610867e0,1.943373983e0,1.177452813e0,1.222554679e0,7.133472432e-1,8.553762293e-1,3.947607280e-1,1.418527348e0,5.834051776e-1,1.698061974e0,1.143950209e0,8.881989653e-1,7.276234264e-1,3.039659447e-1,2.090287466e0,1.618202174e0,9.430604067e-2,1.016367717e0,9.812152493e-1,8.757763476e-1,1.177018971e0,1.140849785e0,1.575670314e0,1.636252538e0,1.474080860e0,2.749100027e-1,5.966762807e-1,4.287256694e-1,1.801721286e-1,1.279670855e0,2.933745351e-1,6.526641382e-1,1.583332854e0,2.886031092e-1,1.273380460e0,1.833418624e0,1.833631367e0,5.056824685e-1,4.255552298e-1,2.139378775e0,2.229010304e-1,2.028481829e-1,6.682812105e-1,8.848235506e-1,1.307061648e0,1.029239360e0,4.512600435e-1,1.693172711e0,7.002371431e-2,1.251222415e0,1.172115393e0,9.739907145e-1,9.196511941e-1,1.918958597e0,1.386135924e0,1.391234038e0,5.892756778e-1,1.439329258e0,7.570734230e-1,1.332268204e-1,118283,0,0
7,2.226070340e-2,5.510339873e-6,5.169098213e-4,1.644273326e-4,2.563776971e-10,1.013688680e0,1.515649821e0,5.732097977e-1,7.146203156e-1,1.764736058e0,1.967898189e0,1.166035097e0,1.332276996e0,6.731124523e-1,8.738834522e-1,4.480233324e-1,1.532103283e0,6.879969974e-1,1.791645062e0,1.211829409e0,8.896718498e-1,8.132351835e-1,2.762287045e-1,2.188044203e0,1.647101917e0,2.183920352e-1,1.099815282e0,9.437428377e-1,9.160459369e-1,1.148373011e0,1.135044423e0,1.655368224e0,1.641201246e0,1.586344510e0,2.812273277e-1,6.518671080e-1,4.634341983e-1,2.591309373e-1,1.318548024e0,3.192876569e-1,6.693405605e-1,1.635544210e0,3.170922786e-1,1.256605989e0,1.859005303e0,1.967018435e0,4.651096254e-1,4.833263237e-1,2.223740469e0,2.045075002e-1,2.059983441e-1,6.947311355e-1,9.689971751e-1,1.337404198e0,1.102803830e0,4.995641021e-1,1.740703376e0,1.401345631e-1,1.330616998e0,1.303936339e0,1.008989121e0,1.038253754e0,2.041482944e0,1.490188936e0,1.468382110e0,6.044496478e-1,1.512398607e0,8.503198409e-1,1.163041604e-1,118283,0,0
8,2.198809647e-2,5.060479166e-6,8.571990845e-4,1.961618776e-4,3.852871729e-10,1.045628308e0,1.623057840e0,8.853627196e-1,6.852534219e-1,1.858136571e0,2.014138178e0,1.452626255e0,1.664428455e0,1.319869627e0,9.125628375e-1,1.053264243e0,1.708307802e0,1.107489047e0,1.978996415e0,1.547311037e0,1.099327002e0,8.980799933e-1,3.669117241e-1,2.244429179e0,1.668896056e0,1.079991611e0,1.214785294e0,1.250417167e0,9.389536875e-1,1.101992081e0,1.774593495e0,1.800386638e0,1.607874698e0,1.713148436e0,9.496924170e-1,7.017805083e-1,5.064677443e-1,7.636733812e-1,1.550892804e0,7.045102943e-1,1.081351453e0,2.170835448e0,1.161325913e0,1.216071124e0,1.992039594e0,2.210814584e0,4.742064916e-1,9.479178428e-1,2.263776857e0,2.120571118e-1,2.514215656e-1,1.373741957e0,1.174641097e0,1.392891221e0,1.246506154e0,1.159182906e0,1.952010195e0,1.029936932e0,1.433443549e0,1.520631613e0,1.532351520e0,1.547874774e0,2.400806039e0,1.838558650e0,1.518489041e0,7.362339669e-1,1.775623410e0,1.393692214e0,6.304244166e-1,118283,0,0
9,2.202840245e-2,5.548348283e-6,1.112943135e-3,2.192450416e-4,2.159646352e-9,9.569903715e-1,1.515192552e0,5.954434695e-1,6.059602995e-1,1.798799602e0,1.941776318e0,1.158442538e0,1.509693161e0,7.813729177e-1,8.587647969e-1,6.682782818e-1,1.682864164e0,9.412685189e-1,1.894347549e0,1.334056873e0,9.026585893e-1,9.235379854e-1,2.485039013e-1,2.261428768e0,1.623582665e0,5.615567455e-1,1.200946530e0,9.335783307e-1,9.272859568e-1,1.043994941e0,1.234343277e0,1.738165614e0,1.563472687e0,1.741747659e0,4.897866428e-1,7.020653370e-1,5.235164250e-1,4.525558290e-1,1.368168984e0,4.676032100e-1,7.683941776e-1,1.761389601e0,5.842045185e-1,1.174425170e0,1.840842729e0,2.153614554e0,4.123298864e-1,6.631489240e-1,2.269862675e0,1.697170160e-1,2.110181853e-1,8.974783519e-1,1.124045772e0,1.331741014e0,1.198775437e0,7.373610775e-1,1.781817483e0,4.929821049e-1,1.411511329e0,1.518442659e0,1.138054525e0,1.300039461e0,2.226299870e0,1.670247265e0,1.538096192e0,6.260711280e-1,1.609614340e0,1.050709810e0,3.960515606e-1,118283,0,0
