frame,micro_div,d_momx,d_momy,d_ke,d_comx,rand_00,rand_01,rand_02,rand_03,rand_04,rand_05,rand_06,rand_07,rand_08,rand_09,rand_10,rand_11,rand_12,rand_13,rand_14,rand_15,rand_16,rand_17,rand_18,rand_19,rand_20,rand_21,rand_22,rand_23,rand_24,rand_25,rand_26,rand_27,rand_28,rand_29,rand_30,rand_31,rand_32,rand_33,rand_34,rand_35,rand_36,rand_37,rand_38,rand_39,rand_40,rand_41,rand_42,rand_43,rand_44,rand_45,rand_46,rand_47,rand_48,rand_49,rand_50,rand_51,rand_52,rand_53,rand_54,rand_55,rand_56,rand_57,rand_58,rand_59,rand_60,rand_61,rand_62,rand_63,join,only_a,only_b
0,3.511820601e-2,1.819505689e-6,2.123991685e-4,1.690362006e-4,4.005021464e-11,3.729436813e-1,7.132014932e-1,6.875652598e-1,1.339796960e0,1.832656942e-1,4.613895150e-1,1.206797330e0,2.976318740e-1,1.219648502e-1,8.858128633e-1,7.415917605e-1,9.237481881e-1,1.291573880e0,1.488170684e-1,3.365018709e-1,1.248447860e-1,3.912932752e-1,2.652664571e-1,4.716311328e-1,1.093464293e-1,1.139467798e0,2.087135942e-1,6.680793344e-1,4.424962017e-1,9.700551583e-1,3.069401154e-1,8.619654239e-2,1.008080389e0,1.445499111e0,7.492928191e-1,5.169398151e-1,1.100594406e0,7.022566852e-1,3.596828761e-1,1.003616848e0,3.808758621e-1,2.698131807e-1,1.290626236e0,2.562980478e-1,7.399174416e-1,9.360968682e-1,2.316833222e-1,3.192406318e-1,3.432978585e-1,3.160085146e-1,4.170613108e-1,9.848998483e-1,1.687815492e0,4.939656642e-1,1.140406698e-1,1.148429700e0,2.464422495e-1,8.455954157e-2,3.480896627e-1,1.251575831e0,5.453048822e-2,6.858635841e-1,9.544459971e-1,4.993326152e-1,2.575582638e-1,2.488455705e-1,2.689455270e-1,5.250350483e-1,9.592570665e-1,118283,0,0
1,3.307794870e-2,3.988841042e-6,1.551909158e-4,2.104412522e-4,6.979307211e-11,4.857786392e-1,9.694499549e-1,8.861485718e-1,1.813605874e0,3.306723910e-1,7.043759425e-1,1.681777744e0,5.811014173e-1,2.500194904e-1,1.304393674e0,9.733333877e-1,1.194365222e0,1.736990345e0,3.252496309e-1,6.422838399e-1,1.879760725e-1,6.826540208e-1,3.112364474e-1,5.908366312e-1,1.850274727e-1,1.570595352e0,5.213693574e-1,8.814921666e-1,7.718170594e-1,1.330477187e0,4.055887891e-1,1.192291201e-1,1.367486608e0,1.989857232e0,1.126220206e0,9.021303511e-1,1.582141409e0,1.145077023e0,4.972899923e-1,1.447647139e0,6.582583417e-1,4.911033253e-1,1.919461894e0,3.092138855e-1,1.018072954e0,1.220448851e0,5.013586336e-1,6.657085297e-1,4.351138461e-1,5.957399608e-1,5.460444849e-1,1.432608526e0,2.340202373e0,7.310193399e-1,2.357234959e-1,1.626689027e0,4.274513019e-1,2.185641836e-1,5.897644651e-1,1.689849692e0,1.757726386e-1,8.497759032e-1,1.259034961e0,6.236437009e-1,3.196163327e-1,3.836165416e-1,5.357177698e-1,9.214122114e-1,1.258950264e0,118283,0,0
2,3.112234085e-2,4.961433979e-6,2.305209902e-5,3.041225303e-4,1.429941063e-10,6.634565518e-1,1.301339999e0,1.230516967e0,2.454185892e0,4.561681528e-1,9.231505870e-1,2.249007084e0,7.836078912e-1,3.879217443e-1,1.724086216e0,1.349442688e0,1.680658010e0,2.365641049e0,5.970507403e-1,8.669050751e-1,2.318174757e-1,9.035212452e-1,5.307583295e-1,8.864994756e-1,2.619059993e-1,2.111872015e0,7.705804942e-1,1.202256134e0,1.031979532e0,1.788337886e0,5.487748609e-1,1.624801520e-1,1.843636159e0,2.686983412e0,1.481160009e0,1.198044303e0,2.102275973e0,1.500108062e0,6.574741853e-1,1.921520101e0,8.724022643e-1,6.383419021e-1,2.530906234e0,5.302532021e-1,1.362354493e0,1.707836652e0,6.819329277e-1,9.137564665e-1,6.575298577e-1,7.947981360e-1,7.541685396e-1,1.895327071e0,3.146590029e0,9.670690625e-1,3.218329452e-1,2.168935835e0,5.688201111e-1,2.709515041e-1,7.820886345e-1,2.299657140e0,1.747982169e-1,1.252826030e0,1.750537523e0,9.221914230e-1,4.762272763e-1,5.044820033e-1,7.353511839e-1,1.213063856e0,1.731897182e0,118283,0,0
3,2.878126060e-2,2.927760490e-6,4.872330812e-5,3.664527873e-4,2.303333697e-10,7.804128464e-1,1.527792931e0,1.453466965e0,2.915351074e0,6.102297105e-1,1.105387225e0,2.668110032e0,1.006361474e0,4.770088604e-1,2.068956825e0,1.603818131e0,2.025235085e0,2.816944631e0,8.804858873e-1,1.115797720e0,2.782377943e-1,1.126394559e0,6.734010336e-1,1.120960128e0,3.683612700e-1,2.508374622e0,1.057703938e0,1.416779058e0,1.308689598e0,2.125840900e0,6.144072810e-1,2.341480842e-1,2.177245314e0,3.207750936e0,1.786740670e0,1.502291115e0,2.512016319e0,1.827637819e0,7.549680074e-1,2.294899333e0,1.096965971e0,7.946518333e-1,3.038195307e0,6.541932126e-1,1.608249166e0,2.061171073e0,8.748861280e-1,1.192955066e0,8.469456779e-1,1.003678271e0,8.901974597e-1,2.258798661e0,3.746509986e0,1.168715413e0,4.231793179e-1,2.581605848e0,7.269723615e-1,3.261077487e-1,9.739836414e-1,2.748285593e0,1.307663232e-1,1.527658744e0,2.107634658e0,1.141363909e0,6.055377405e-1,6.131887568e-1,9.657637008e-1,1.508398267e0,2.058934075e0,118283,0,0
4,2.693592112e-2,1.689965946e-6,1.097437616e-5,4.328540139e-4,2.757976512e-10,8.894780433e-1,1.754058166e0,1.686611236e0,3.353780543e0,7.383190567e-1,1.293722065e0,3.062593722e0,1.175187883e0,5.455278887e-1,2.367611311e0,1.885712970e0,2.398695511e0,3.268226272e0,1.116258806e0,1.299364133e0,3.304860945e-1,1.294645162e0,8.005844007e-1,1.388612034e0,4.694221956e-1,2.896773346e0,1.254892290e0,1.626028142e0,1.506098348e0,2.435444672e0,7.028437022e-1,3.295278985e-1,2.498606901e0,3.722130442e0,2.041282014e0,1.721082333e0,2.888020683e0,2.087764824e0,8.648659551e-1,2.637991455e0,1.261294672e0,9.392616505e-1,3.477675354e0,7.457579113e-1,1.841045602e0,2.440908649e0,9.926718296e-1,1.379358125e0,1.068242824e0,1.142826657e0,1.040317504e0,2.602878775e0,4.334343035e0,1.339152178e0,5.092290904e-1,2.978025937e0,8.628392627e-1,3.800673093e-1,1.126877879e0,3.191503285e0,1.551340968e-1,1.827819385e0,2.498611623e0,1.385552980e0,7.490762650e-1,7.033565616e-1,1.141249051e0,1.731592252e0,2.383574715e0,118283,0,0
5,2.578889712e-2,1.796484278e-6,6.520781509e-5,4.995505384e-4,3.184017698e-10,9.933296464e-1,1.947368547e0,1.913663165e0,3.739999814e0,8.137929099e-1,1.436627283e0,3.387611029e0,1.262180194e0,6.260966486e-1,2.579653472e0,2.150758113e0,2.755880219e0,3.677523862e0,1.289785169e0,1.394225073e0,3.737765937e-1,1.379899047e0,9.345109323e-1,1.637170821e0,5.335690821e-1,3.232149031e0,1.360821149e0,1.825104774e0,1.606958464e0,2.696464728e0,8.184103688e-1,4.190225191e-1,2.774445262e0,4.169292283e0,2.219344689e0,1.832168285e0,3.181444157e0,2.238857425e0,9.629072805e-1,2.903724941e0,1.349014066e0,1.029525828e0,3.792094978e0,8.518980718e-1,2.032775505e0,2.803942528e0,1.039648240e0,1.467509766e0,1.267463236e0,1.205794793e0,1.178385750e0,2.870417536e0,4.833666071e0,1.453925562e0,5.608646387e-1,3.300695825e0,9.449748280e-1,4.158731827e-1,1.209842096e0,3.592848275e0,2.058180749e-1,2.133834388e0,2.866596259e0,1.626611448e0,8.864270886e-1,7.601295796e-1,1.235780931e0,1.849057919e0,2.692492546e0,118283,0,0
6,2.502352353e-2,2.378696508e-6,3.779156346e-5,5.460466468e-4,3.657920540e-10,1.062544790e0,2.088916898e0,2.075398210e0,4.003307292e0,8.501625672e-1,1.533000448e0,3.609666772e0,1.302149392e0,6.535291529e-1,2.719100095e0,2.337723779e0,2.999867754e0,3.955807377e0,1.388217243e0,1.435731533e0,3.849852832e-1,1.428379736e0,1.027483132e0,1.800691387e0,5.660920242e-1,3.459982209e0,1.411850788e0,1.957322456e0,1.656854768e0,2.872598721e0,8.778620552e-1,4.545053776e-1,2.971355139e0,4.471883981e0,2.325395276e0,1.889593841e0,3.378398693e0,2.329260819e0,1.032107878e0,3.081782056e0,1.388007312e0,1.059898830e0,3.993295125e0,9.347817032e-1,2.166204821e0,3.044805981e0,1.058317796e0,1.503932942e0,1.395761946e0,1.234875153e0,1.283270026e0,3.048556449e0,5.177161610e0,1.526190753e0,5.829637443e-1,3.519373015e0,9.805971614e-1,4.117351510e-1,1.256929623e0,3.860068589e0,1.705387874e-1,2.334904737e0,3.112358626e0,1.780081752e0,9.708010730e-1,7.921150526e-1,1.277056721e0,1.907738265e0,2.900934278e0,118283,0,0
7,2.454461899e-2,3.089606582e-6,3.411714762e-5,5.784716869e-4,4.301709760e-10,1.110402111e0,2.180797515e0,2.187689263e0,4.168327248e0,8.598858601e-1,1.577935919e0,3.742445042e0,1.306056340e0,6.805850008e-1,2.788439345e0,2.462289341e0,3.159731957e0,4.131025665e0,1.443894101e0,1.438244006e0,3.878105776e-1,1.436994111e0,1.099679532e0,1.904341962e0,5.773753941e-1,3.598374464e0,1.424490705e0,2.046696746e0,1.661789078e0,2.979926512e0,9.285626655e-1,4.710541717e-1,3.097150969e0,4.652503042e0,2.371777209e0,1.895601818e0,3.484714203e0,2.356002968e0,1.079558074e0,3.177495739e0,1.390810415e0,1.063966105e0,4.089774535e0,1.007064745e0,2.249653759e0,3.199506648e0,1.049438386e0,1.500735483e0,1.473448921e0,1.230550781e0,1.354393171e0,3.143587197e0,5.381549035e0,1.560449841e0,5.880759346e-1,3.644054132e0,9.888799109e-1,4.012760829e-1,1.269434179e0,4.024707982e0,1.400192038e-1,2.474978088e0,3.268753179e0,1.882400102e0,1.022813008e0,8.043537209e-1,1.282696811e0,1.914959251e0,3.038512028e0,118283,0,0
8,2.423714924e-2,3.644964190e-6,1.693278755e-5,5.922112908e-4,5.042319246e-10,1.127546990e0,2.218740148e0,2.235068114e0,4.222371698e0,8.626925933e-1,1.589477413e0,3.785985527e0,1.303949054e0,7.010331478e-1,2.803843436e0,2.515758954e0,3.222905850e0,4.191369209e0,1.474190375e0,1.434366402e0,3.907115348e-1,1.433633473e0,1.136601191e0,1.948012776e0,5.828864912e-1,3.644767801e0,1.428947700e0,2.079363344e0,1.653511202e0,3.012912705e0,9.579492671e-1,4.754883801e-1,3.143822075e0,4.709458885e0,2.376127151e0,1.885830088e0,3.512131784e0,2.353448216e0,1.103613233e0,3.202573945e0,1.383823751e0,1.067147216e0,4.107890268e0,1.047798761e0,2.280486120e0,3.256872683e0,1.039097253e0,1.493514441e0,1.505539771e0,1.219793541e0,1.386877210e0,3.170316544e0,5.448112533e0,1.567900092e0,5.902158211e-1,3.682414042e0,9.914508197e-1,4.011393751e-1,1.270047623e0,4.076845152e0,1.512251730e-1,2.535321936e0,3.328589206e0,1.924956455e0,1.041061974e0,8.056836956e-1,1.282680560e0,1.908440766e0,3.087231859e0,118283,0,0
9,2.398558593e-2,3.637822616e-6,1.509046003e-4,5.907072892e-4,5.851783303e-10,1.116712806e0,2.228729047e0,2.235148381e0,4.202218003e0,8.562556466e-1,1.600315919e0,3.778906465e0,1.293729593e0,6.745325507e-1,2.796521146e0,2.524052628e0,3.217773248e0,4.176263400e0,1.463946251e0,1.419138730e0,3.855678216e-1,1.430446167e0,1.128860124e0,1.947542641e0,5.831826860e-1,3.637386826e0,1.408798181e0,2.064208300e0,1.635601026e0,2.996718460e0,9.484353206e-1,4.597091296e-1,3.144154145e0,4.695603451e0,2.357735992e0,1.869342954e0,3.503986006e0,2.347593051e0,1.113578434e0,3.196606500e0,1.366853758e0,1.057050826e0,4.092664964e0,1.042920237e0,2.279845957e0,3.242812231e0,1.024204587e0,1.472900552e0,1.506634747e0,1.205826094e0,1.399753974e0,3.170198990e0,5.442431297e0,1.561663540e0,5.836806237e-1,3.679543583e0,9.834601722e-1,3.931977685e-1,1.267442631e0,4.053063682e0,1.412689890e-1,2.520697081e0,3.322673559e0,1.913177834e0,1.030240292e0,8.004813223e-1,1.268718723e0,1.897209765e0,3.067295115e0,118283,0,0
