frame,moment,rms_signed,rms_abs
0,0,1.195269807e-4,1.210861439e-4
0,1,4.255843572e-3,4.820528330e-3
0,2,2.328790146e-4,2.328790146e-4
0,3,1.046168223e-5,1.046168223e-5
0,4,4.655469106e-4,4.655469106e-4
0,5,1.697529169e-6,1.756894529e-6
0,6,1.273447550e-4,1.273447550e-4
0,7,1.091678133e-6,1.091678551e-6
0,8,1.235846808e-4,1.273389501e-4
300,0,1.755776839e-4,3.803586959e-4
300,1,3.322969020e-3,4.910708026e-3
300,2,1.675860381e-4,1.675860381e-4
300,3,2.764351804e-5,2.764351804e-5
300,4,3.125801224e-4,3.125801224e-4
300,5,3.750747256e-5,4.540631571e-5
300,6,4.887677762e-5,4.887677762e-5
300,7,6.355595736e-6,6.468275861e-6
300,8,3.272341255e-5,3.566186559e-5
1200,0,8.745163506e-5,3.364740684e-4
1200,1,7.099136774e-4,3.272044403e-3
1200,2,8.361137039e-5,8.361137039e-5
1200,3,2.123626855e-5,2.123626855e-5
1200,4,1.485149424e-4,1.485149424e-4
1200,5,9.784436846e-6,2.406833530e-5
1200,6,1.820634527e-5,1.820634527e-5
1200,7,5.604597409e-6,5.843988916e-6
1200,8,5.297990685e-6,1.031986908e-5
