frame,moment,rms_signed,rms_abs
0,0,1.551847054e-4,1.561674362e-4
0,1,3.625925392e-3,4.672960747e-3
0,2,2.467799073e-4,2.467799073e-4
0,3,1.703699570e-5,1.703699570e-5
0,4,4.930990760e-4,4.930990760e-4
0,5,2.199397231e-6,2.208160760e-6
0,6,1.672302348e-4,1.672302348e-4
0,7,2.222584861e-6,2.222585957e-6
0,8,1.608784230e-4,1.672139818e-4
300,0,2.477221004e-4,4.057303207e-4
300,1,3.044463908e-3,4.671796388e-3
300,2,1.570016995e-4,1.570016995e-4
300,3,3.108151306e-5,3.108151306e-5
300,4,2.869031010e-4,2.869031010e-4
300,5,4.901134017e-5,5.607753114e-5
300,6,5.991940744e-5,5.991940744e-5
300,7,6.764033235e-6,6.871754205e-6
300,8,4.047414232e-5,4.393417430e-5
1200,0,6.653503056e-5,3.468843398e-4
1200,1,6.502657784e-4,3.301732325e-3
1200,2,8.752968284e-5,8.752968284e-5
1200,3,2.165648268e-5,2.165648268e-5
1200,4,1.554882425e-4,1.554882425e-4
1200,5,1.008640959e-5,2.322394152e-5
1200,6,1.749811129e-5,1.749811129e-5
1200,7,5.604881379e-6,5.846113742e-6
1200,8,2.505745509e-6,1.004470696e-5
