================================================================================================
REFUTER A2 -- WEIGHT VARIANTS  cap=SGC  n_null=2  (post-unblind, post-hoc)
================================================================================================
  [SGC 0.20<z<0.75] grid (270, 450, 270) = 32.8M; randoms 16623786; mask 0.152; R=15: valid 0.103, n_indep 13719; R=10: valid 0.118, n_indep 52935   [30s]
    [SGC] weight scheme 'standard' done  sigma(R=15)=0.4737   [72s]
    [SGC] weight scheme 'none' done  sigma(R=15)=0.4750   [113s]
    [SGC] weight scheme 'no_systot' done  sigma(R=15)=0.4789   [154s]
    [SGC] weight scheme 'systot_only' done  sigma(R=15)=0.4701   [194s]
    [SGC] weight scheme 'standard_fkp' done  sigma(R=15)=0.4418   [235s]

  A2 -- TARGET under published weight variants, folded, cap=SGC
  scheme         R     b        I(data)        target       shift shift/sig
  standard       15.0  4    6.21231e-04   2.92326e-04   0.000e+00      0.00
  standard       10.0  4    1.37229e-03   8.63433e-04   0.000e+00      0.00
  standard       10.0  6    2.57494e-03   1.75331e-03   0.000e+00      0.00
  standard       10.0  8    3.66747e-03   2.60756e-03   0.000e+00      0.00
  none           15.0  4    6.34528e-04   3.39995e-04   4.767e-05      0.58
  none           10.0  4    1.31675e-03   7.65299e-04  -9.813e-05     -2.58
  none           10.0  6    2.45570e-03   1.56700e-03  -1.863e-04     -2.82
  none           10.0  8    3.51892e-03   2.38254e-03  -2.250e-04     -2.54
  no_systot      15.0  4    6.56055e-04   3.32657e-04   4.033e-05      0.49
  no_systot      10.0  4    1.36405e-03   8.39920e-04  -2.351e-05     -0.62
  no_systot      10.0  6    2.58639e-03   1.74260e-03  -1.071e-05     -0.16
  no_systot      10.0  8    3.68623e-03   2.59899e-03  -8.575e-06     -0.10
  systot_only    15.0  4    5.90695e-04   3.42527e-04   5.020e-05      0.61
  systot_only    10.0  4    1.29661e-03   7.51651e-04  -1.118e-04     -2.94
  systot_only    10.0  6    2.44783e-03   1.56792e-03  -1.854e-04     -2.80
  systot_only    10.0  8    3.50533e-03   2.38882e-03  -2.187e-04     -2.47
  standard_fkp   15.0  4    7.41932e-04   4.00546e-04   1.082e-04      1.31
  standard_fkp   10.0  4    1.54700e-03   5.56629e-04  -3.068e-04     -8.08
  standard_fkp   10.0  6    3.01421e-03   1.30102e-03  -4.523e-04     -6.84
  standard_fkp   10.0  8    4.38210e-03   2.09742e-03  -5.101e-04     -5.77
