Kob-Andersen: N=4096  L=15.0522  rho=1.2010 sigma^-3
  g(r) first peak 1.058, first minimum 1.417 -> r_cut(B-own) = 1.4175
  ideal-gas-matched r_cut (n_ideal = 5.99, as mW at 3.50 A) = 1.0599

=== B_own   r_cut = 1.4175 ===
 template      T     p1      N_tri       share   floor_med        p   ceiling  headroom    minc
     1.30   0.44  1.000  5.092e+04  0.0000e+00  0.0000e+00   1.0000   0.00000    0.0000       0
     1.30   0.50  1.000  5.184e+04  0.0000e+00  0.0000e+00   1.0000   0.00000    0.0000       0
     1.30   0.56  1.000  5.184e+04  0.0000e+00  0.0000e+00   1.0000   0.00000    0.0000       0
     1.30   0.64  1.000  5.184e+04  0.0000e+00  0.0000e+00   1.0000   0.00000    0.0000       0

=== B_matched   r_cut = 1.0599 ===
 template      T     p1      N_tri       share   floor_med        p   ceiling  headroom    minc
     1.30   0.44  0.599  5.092e+04  1.9797e-03  2.4719e-05   0.0050   0.04560    0.4776    4724
     1.30   0.50  0.627  5.184e+04  1.1906e-03  2.6694e-05   0.0050   0.03037    0.5400    5146
     1.30   0.56  0.647  5.184e+04  9.4698e-04  2.9033e-05   0.0050   0.02200    0.5777    5246
     1.30   0.64  0.671  5.184e+04  3.8740e-05  3.1443e-05   0.4527   0.01438    0.5670    4834
     1.50   0.44  0.599  5.184e+04  7.9222e-04  2.4722e-05   0.0050   0.00167    0.2230     576
     1.50   0.50  0.627  5.184e+04  1.0206e-04  2.6171e-05   0.1692   0.00020    0.1901     594
     1.50   0.56  0.647  5.184e+04  2.0086e-04  3.1715e-05   0.0647   0.00034    0.1790     498
     1.50   0.64  0.671  5.184e+04  1.5566e-04  2.9315e-05   0.1095   0.00016    0.1607     468
 far_5.00   0.44  0.599  5.184e+04  2.0377e-04  2.7603e-05   0.0796   0.00022    0.4324    3366
 far_5.00   0.50  0.627  5.184e+04  3.4368e-06  3.3384e-05   0.7861   0.00002    0.3923    2730
 far_5.00   0.56  0.647  5.184e+04  8.4915e-05  3.5376e-05   0.2537   0.00009    0.3536    2130
