lam          rho overdisp  poisson  cellmin  maxvoid      <n>  n_ideal     p1  verdict
0.00      0.9970    0.875    0.179      0.0    13.06    12.61     5.99  1.000  CAVITATED
2.00      0.9970    0.773    0.179      0.0    14.08    12.21     5.99  1.000  CAVITATED
5.00      0.9970    0.603    0.179      0.0    11.96    11.85     5.99  1.000  CAVITATED
8.00      0.9970    0.512    0.179      0.0    14.99    10.01     5.99  1.000  CAVITATED
11.00     0.9970    0.426    0.179      0.0    13.37     8.69     5.99  0.996  CAVITATED
14.00     0.9970    0.344    0.179      0.0    11.76     7.54     5.99  0.989  CAVITATED
18.00     0.9970    0.235    0.179      1.5     9.08     6.27     5.99  0.950  PASS
23.15     0.9970    0.071    0.179     25.7     3.13     5.11     5.99  0.743  PASS

wrote /home/emoore/CIRISOntology/scratchpad/water_homog.json
