IBI: target = mW lambda=23.15 at rho=0.9970, T=298.0; 30 iterations

 iter      max|dg|       rms dg       peak g      P (atm)
    0       0.6110      0.14515       2.5633       2671.6
    1       0.4228      0.09868       2.4277       3468.9
    2       0.3440      0.07784       2.3562       4221.6
    3       0.2770      0.06582       2.3020       4907.1
    4       0.2499      0.05779       2.2848       5507.1
    5       0.2224      0.05172       2.2807       6142.1
    6       0.2122      0.04669       2.2566       6711.7
    7       0.1901      0.04256       2.2525       7178.9
    8       0.1733      0.04008       2.2187       7672.2
    9       0.1852      0.03732       2.2148       8074.2
   10       0.1465      0.03492       2.2274       8405.1
   11       0.1564      0.03316       2.2050       8682.7
   12       0.1487      0.03181       2.2161       8948.6
   13       0.1405      0.02975       2.2039       9164.8
   14       0.1193      0.02847       2.1819       9415.5
   15       0.1183      0.02682       2.1899       9536.5
   16       0.1208      0.02617       2.1763       9743.4
   17       0.1019      0.02498       2.1839       9843.8
   18       0.1048      0.02453       2.1782       9993.2
   19       0.1080      0.02364       2.1859      10060.6
   20       0.1158      0.02273       2.1978      10166.7
   21       0.1024      0.02183       2.1536      10254.3
   22       0.0955      0.02192       2.1662      10288.1
   23       0.1014      0.02122       2.1496      10351.9
   24       0.0926      0.02038       2.1725      10321.2
   25       0.0843      0.01972       2.1663      10345.8
   26       0.0985      0.01941       2.1794      10342.5
   27       0.0878      0.01901       2.1709      10400.2
   28       0.0843      0.01836       2.1366      10381.0
   29       0.0780      0.01821       2.1556      10371.0

best iteration 29 (rms 0.01821); production run

PRODUCTION: max|dg| = 0.0802  rms = 0.01783  P = 10367.6 atm
wrote /home/emoore/CIRISOntology/scratchpad/water_ibi.json
