atomic_number,symbol,name,abridged_standard_atomic_weight_u,uncertainty_u,source_id
1,H,hydrogen,1.0080,0.0002,ciaaw_abridged_2024
2,He,helium,4.0026,0.0001,ciaaw_abridged_2024
3,Li,lithium,6.94,0.06,ciaaw_abridged_2024
4,Be,beryllium,9.0122,0.0001,ciaaw_abridged_2024
5,B,boron,10.81,0.02,ciaaw_abridged_2024
6,C,carbon,12.011,0.002,ciaaw_abridged_2024
7,N,nitrogen,14.007,0.001,ciaaw_abridged_2024
8,O,oxygen,15.999,0.001,ciaaw_abridged_2024
9,F,fluorine,18.998,0.001,ciaaw_abridged_2024
10,Ne,neon,20.180,0.001,ciaaw_abridged_2024
11,Na,sodium,22.990,0.001,ciaaw_abridged_2024
12,Mg,magnesium,24.305,0.002,ciaaw_abridged_2024
13,Al,aluminium,26.982,0.001,ciaaw_abridged_2024
14,Si,silicon,28.085,0.001,ciaaw_abridged_2024
15,P,phosphorus,30.974,0.001,ciaaw_abridged_2024
16,S,sulfur,32.06,0.02,ciaaw_abridged_2024
17,Cl,chlorine,35.45,0.01,ciaaw_abridged_2024
18,Ar,argon,39.95,0.16,ciaaw_abridged_2024
19,K,potassium,39.098,0.001,ciaaw_abridged_2024
20,Ca,calcium,40.078,0.004,ciaaw_abridged_2024
21,Sc,scandium,44.956,0.001,ciaaw_abridged_2024
22,Ti,titanium,47.867,0.001,ciaaw_abridged_2024
23,V,vanadium,50.942,0.001,ciaaw_abridged_2024
24,Cr,chromium,51.996,0.001,ciaaw_abridged_2024
25,Mn,manganese,54.938,0.001,ciaaw_abridged_2024
26,Fe,iron,55.845,0.002,ciaaw_abridged_2024
27,Co,cobalt,58.933,0.001,ciaaw_abridged_2024
28,Ni,nickel,58.693,0.001,ciaaw_abridged_2024
29,Cu,copper,63.546,0.003,ciaaw_abridged_2024
30,Zn,zinc,65.38,0.02,ciaaw_abridged_2024
31,Ga,gallium,69.723,0.001,ciaaw_abridged_2024
32,Ge,germanium,72.630,0.008,ciaaw_abridged_2024
33,As,arsenic,74.922,0.001,ciaaw_abridged_2024
34,Se,selenium,78.971,0.008,ciaaw_abridged_2024
35,Br,bromine,79.904,0.003,ciaaw_abridged_2024
36,Kr,krypton,83.798,0.002,ciaaw_abridged_2024
37,Rb,rubidium,85.468,0.001,ciaaw_abridged_2024
38,Sr,strontium,87.62,0.01,ciaaw_abridged_2024
39,Y,yttrium,88.906,0.001,ciaaw_abridged_2024
40,Zr,zirconium,91.222,0.003,ciaaw_abridged_2024
41,Nb,niobium,92.906,0.001,ciaaw_abridged_2024
42,Mo,molybdenum,95.95,0.01,ciaaw_abridged_2024
43,Tc,technetium,,,ciaaw_abridged_2024
44,Ru,ruthenium,101.07,0.02,ciaaw_abridged_2024
45,Rh,rhodium,102.91,0.01,ciaaw_abridged_2024
46,Pd,palladium,106.42,0.01,ciaaw_abridged_2024
47,Ag,silver,107.87,0.01,ciaaw_abridged_2024
48,Cd,cadmium,112.41,0.01,ciaaw_abridged_2024
49,In,indium,114.82,0.01,ciaaw_abridged_2024
50,Sn,tin,118.71,0.01,ciaaw_abridged_2024
51,Sb,antimony,121.76,0.01,ciaaw_abridged_2024
52,Te,tellurium,127.60,0.03,ciaaw_abridged_2024
53,I,iodine,126.90,0.01,ciaaw_abridged_2024
54,Xe,xenon,131.29,0.01,ciaaw_abridged_2024
55,Cs,caesium,132.91,0.01,ciaaw_abridged_2024
56,Ba,barium,137.33,0.01,ciaaw_abridged_2024
57,La,lanthanum,138.91,0.01,ciaaw_abridged_2024
58,Ce,cerium,140.12,0.01,ciaaw_abridged_2024
59,Pr,praseodymium,140.91,0.01,ciaaw_abridged_2024
60,Nd,neodymium,144.24,0.01,ciaaw_abridged_2024
61,Pm,promethium,,,ciaaw_abridged_2024
62,Sm,samarium,150.36,0.02,ciaaw_abridged_2024
63,Eu,europium,151.96,0.01,ciaaw_abridged_2024
64,Gd,gadolinium,157.25,0.01,ciaaw_abridged_2024
65,Tb,terbium,158.93,0.01,ciaaw_abridged_2024
66,Dy,dysprosium,162.50,0.01,ciaaw_abridged_2024
67,Ho,holmium,164.93,0.01,ciaaw_abridged_2024
68,Er,erbium,167.26,0.01,ciaaw_abridged_2024
69,Tm,thulium,168.93,0.01,ciaaw_abridged_2024
70,Yb,ytterbium,173.05,0.02,ciaaw_abridged_2024
71,Lu,lutetium,174.97,0.01,ciaaw_abridged_2024
72,Hf,hafnium,178.49,0.01,ciaaw_abridged_2024
73,Ta,tantalum,180.95,0.01,ciaaw_abridged_2024
74,W,tungsten,183.84,0.01,ciaaw_abridged_2024
75,Re,rhenium,186.21,0.01,ciaaw_abridged_2024
76,Os,osmium,190.23,0.03,ciaaw_abridged_2024
77,Ir,iridium,192.22,0.01,ciaaw_abridged_2024
78,Pt,platinum,195.08,0.02,ciaaw_abridged_2024
79,Au,gold,196.97,0.01,ciaaw_abridged_2024
80,Hg,mercury,200.59,0.01,ciaaw_abridged_2024
81,Tl,thallium,204.38,0.01,ciaaw_abridged_2024
82,Pb,lead,207.2,1.1,ciaaw_abridged_2024
83,Bi,bismuth,208.98,0.01,ciaaw_abridged_2024
84,Po,polonium,,,ciaaw_abridged_2024
85,At,astatine,,,ciaaw_abridged_2024
86,Rn,radon,,,ciaaw_abridged_2024
87,Fr,francium,,,ciaaw_abridged_2024
88,Ra,radium,,,ciaaw_abridged_2024
89,Ac,actinium,,,ciaaw_abridged_2024
90,Th,thorium,232.04,0.01,ciaaw_abridged_2024
91,Pa,protactinium,231.04,0.01,ciaaw_abridged_2024
92,U,uranium,238.03,0.01,ciaaw_abridged_2024
93,Np,neptunium,,,ciaaw_abridged_2024
94,Pu,plutonium,,,ciaaw_abridged_2024
95,Am,americium,,,ciaaw_abridged_2024
96,Cm,curium,,,ciaaw_abridged_2024
97,Bk,berkelium,,,ciaaw_abridged_2024
98,Cf,californium,,,ciaaw_abridged_2024
